Sample,Time_us,Raw_u16,Voltage_V
789,789013,14355,0.722843
790,790010,14083,0.709146
791,791013,13859,0.697867
792,792010,13715,0.690616
793,793013,13763,0.693033
794,794009,13939,0.701895
795,795013,14211,0.715592
796,796010,14451,0.727677
797,797014,14563,0.733317
798,798010,14531,0.731705
799,799014,14355,0.722843
800,800010,14083,0.709146
801,801014,13859,0.697867
802,802015,13731,0.691421
803,803013,13763,0.693033
804,804010,13939,0.701895
805,805014,14211,0.715592
806,806010,14451,0.727677
807,807014,14579,0.734122
808,808010,14531,0.731705
809,809015,14355,0.722843
810,810013,14083,0.709146
811,811009,13843,0.697061
812,812013,13715,0.690616
813,813010,13747,0.692227
814,814013,13955,0.702701
815,815010,14211,0.715592
816,816014,14467,0.728482
817,817011,14579,0.734122
818,818009,14531,0.731705
819,819013,14355,0.722843
820,820010,14083,0.709146
821,821014,13843,0.697061
822,822010,13715,0.690616
823,823014,13747,0.692227
824,824011,13939,0.701895
825,825015,14195,0.714786
826,826011,14451,0.727677
827,827008,14547,0.732511
828,828012,14531,0.731705
829,829008,14339,0.722037
830,830012,14083,0.709146
831,831009,13827,0.696255
832,832012,13731,0.691421
833,833009,13747,0.692227
834,834014,13923,0.701090
835,835010,14195,0.714786
836,836014,14451,0.727677
837,837011,14579,0.734122
838,838015,14547,0.732511
839,839011,14339,0.722037
840,840015,14083,0.709146
841,841011,13843,0.697061
842,842009,13715,0.690616
843,843013,13747,0.692227
844,844010,13923,0.701090
845,845013,14211,0.715592
846,846010,14435,0.726871
847,847014,14579,0.734122
848,848010,14531,0.731705
849,849015,14355,0.722843
850,850014,14083,0.709146
851,851011,13843,0.697061
852,852015,13715,0.690616
853,853011,13763,0.693033
854,854008,13923,0.701090
855,855012,14195,0.714786
856,856008,14451,0.727677
857,857014,14563,0.733317
858,858011,14531,0.731705
859,859015,14355,0.722843
860,860012,14083,0.709146
861,861008,13827,0.696255
862,862012,13715,0.690616
863,863008,13747,0.692227
864,864012,13955,0.702701
865,865009,14195,0.714786
866,866011,14451,0.727677
867,867015,14563,0.733317
868,868011,14547,0.732511
869,869008,14355,0.722843
870,870012,14083,0.709146
871,871008,13843,0.697061
872,872012,13731,0.691421
873,873010,13763,0.693033
874,874015,13939,0.701895
875,875011,14179,0.713980
876,876015,14387,0.724454
877,877012,14547,0.732511
878,878008,14531,0.731705
879,879012,14323,0.721231
880,880008,14051,0.707535
881,881014,13827,0.696255
882,882014,13667,0.688199
883,883011,13747,0.692227
884,884015,13923,0.701090
885,885012,14163,0.713175
886,886008,14419,0.726065
887,887012,14547,0.732511
888,888008,14499,0.730094
889,889014,14339,0.722037
890,890011,14067,0.708341
891,891015,13811,0.695450
892,892012,13699,0.689810
893,893008,13747,0.692227
894,894012,13955,0.702701
895,895008,14195,0.714786
896,896012,14451,0.727677
897,897011,14579,0.734122
898,898008,14531,0.731705
899,899012,14371,0.723648
900,900008,14083,0.709146
901,901012,13859,0.697867
902,902009,13715,0.690616
903,903012,13763,0.693033
904,904009,13939,0.701895
905,905015,14211,0.715592
906,906012,14403,0.725260
907,907008,14547,0.732511
908,908012,14547,0.732511
909,909009,14355,0.722843
910,910013,14083,0.709146
911,911009,13843,0.697061
912,912013,13715,0.690616
913,913013,13747,0.692227
914,914010,13923,0.701090
915,915014,14211,0.715592
916,916010,14451,0.727677
917,917014,14563,0.733317
918,918011,14563,0.733317
919,919014,14355,0.722843
920,920011,14083,0.709146
921,921011,13843,0.697061
922,922009,13715,0.690616
923,923012,13763,0.693033
924,924009,13939,0.701895
925,925013,14211,0.715592
926,926009,14435,0.726871
927,927013,14579,0.734122
928,928010,14531,0.731705
929,929013,14339,0.722037
930,930011,14083,0.709146
931,931015,13827,0.696255
932,932011,13699,0.689810
933,933008,13731,0.691421
934,934012,13907,0.700284
935,935008,14099,0.709952
936,936012,14419,0.726065
937,937013,14563,0.733317
938,938010,14531,0.731705
939,939013,14355,0.722843
940,940010,14067,0.708341
941,941014,13811,0.695450
942,942010,13715,0.690616
943,943014,13731,0.691421
944,944011,13891,0.699478
945,945011,14179,0.713980
946,946008,14435,0.726871
947,947012,14547,0.732511
948,948008,14531,0.731705
949,949012,14355,0.722843
950,950009,14051,0.707535
951,951012,13827,0.696255
952,952009,13667,0.688199
953,953009,13731,0.691421
954,954014,13907,0.700284
955,955010,14179,0.713980
956,956014,14419,0.726065
957,957011,14563,0.733317
958,958014,14531,0.731705
959,959011,14355,0.722843
960,960015,14083,0.709146
961,961008,13843,0.697061
962,962013,13731,0.691421
963,963010,13747,0.692227
964,964014,13939,0.701895
965,965010,14195,0.714786
966,966014,14435,0.726871
967,967010,14563,0.733317
968,968014,14547,0.732511
969,969015,14355,0.722843
970,970012,14083,0.709146
971,971008,13843,0.697061
972,972012,13715,0.690616
973,973009,13747,0.692227
974,974013,13955,0.702701
975,975009,14195,0.714786
976,976013,14435,0.726871
977,977014,14563,0.733317
978,978012,14531,0.731705
979,979008,14355,0.722843
980,980012,14083,0.709146
981,981009,13843,0.697061
982,982012,13731,0.691421
983,983009,13747,0.692227
984,984013,13923,0.701090
985,985015,14195,0.714786
986,986011,14435,0.726871
987,987008,14563,0.733317
988,988012,14547,0.732511
989,989008,14355,0.722843
990,990012,14067,0.708341
991,991009,13843,0.697061
992,992012,13715,0.690616
993,993021,13715,0.690616
994,994008,13939,0.701895
995,995013,14195,0.714786
996,996010,14435,0.726871
997,997014,14579,0.734122
998,998010,14547,0.732511
999,999014,14355,0.722843
1000,1000011,14083,0.709146
1001,1001009,13843,0.697061
1002,1002009,13715,0.690616
1003,1003013,13747,0.692227
1004,1004009,13923,0.701090
1005,1005013,14211,0.715592
1006,1006009,14451,0.727677
1007,1007013,14579,0.734122
